city,Temperature (°C),Humidity (%),Weather Condition
Pīrthala,21.51,17,clear sky
Pen,24.41,65,clear sky
Mursān,21.49,17,overcast clouds
Kulittalai,26.25,77,clear sky
Kalaīkunda,21.78,78,broken clouds
Republic of India,25.71,22,clear sky
Gobindpur,21.05,81,overcast clouds
Gangtok,14.07,65,overcast clouds
Farrukhābād,21.69,13,clear sky
Fālākāta,20.06,73,overcast clouds
Chāndpur,18.21,19,clear sky
Bari Sādri,22.56,24,clear sky
Ankola,25.15,66,clear sky
Zaidpur,21.82,18,clear sky
Soalkuchi,20.99,83,mist
Sital,21.37,19,clear sky
Punāsa,25.52,18,clear sky
Okha,24.96,80,clear sky
Nūrpur,18.28,19,clear sky
Mohpa,25.35,20,few clouds
Lunglei,19.52,64,overcast clouds
Londa,22.2,43,clear sky
Jalālpur,25.79,66,clear sky
Haringhāta,21.4,71,overcast clouds
Hārij,25.63,24,clear sky
Hamīrpur,12.78,43,clear sky
Gopināthpur,22.13,77,overcast clouds
Garhi Pūkhta,17.46,20,clear sky
Dīnānagar,16.68,38,clear sky
Dhilwan,15.89,32,clear sky
Dharmābād,27.01,48,clear sky
Bārdoli,25.33,55,clear sky
Bālotra,25.04,20,clear sky
Union Territory of Andaman and Nicobar Islands,27.51,78,mist
Muvattupuzha,25.78,96,scattered clouds
Ooty,12.45,87,few clouds
Tankāra,26.54,37,clear sky
Sodarpur,23.12,21,clear sky
Shankargarh,23.32,44,clear sky
Sāmbhar,17.72,22,clear sky
Rāmnagar,18.38,77,few clouds
Rājgarh,24.32,21,clear sky
Rāisinghnagar,21.32,20,clear sky
Nawanshahr,16.99,25,clear sky
Khanna,17.21,26,clear sky
Jahāngīrpur,20.78,18,scattered clouds
Dhanaula,16.82,25,clear sky
Rampachodavaram,21.48,79,clear sky
Birbhaddar,18.3,34,clear sky
Bihpuriāgaon,19.33,72,overcast clouds
Bhatgaon,24.71,56,broken clouds
Bhasāwar,22.74,16,overcast clouds
Basi,17.92,24,clear sky
Ārvi,26.9,19,clear sky
Shivaji Nagar,23.48,38,clear sky
Yellāpur,21.36,62,clear sky
Tura,19.27,71,overcast clouds
Tripura,22.03,60,overcast clouds
Songadh,24.46,31,clear sky
Rādhanpur,26.52,28,clear sky
Pāndoh,12.68,48,clear sky
Nūzvīd,22.44,88,clear sky
North Vanlaiphai,13.95,76,broken clouds
Mohiuddinnagar,20.31,83,clear sky
Kotra,24.72,17,clear sky
Kot Īsa Khān,15.94,30,clear sky
Kāsan,19.9,18,clear sky
Indāpur,22.94,65,clear sky
Darya Ganj,20.11,60,haze
Chhāpar,22.49,17,clear sky
Chamrajnagar,24.01,65,clear sky
Barsāna,22.46,16,overcast clouds
Bānsi,21.71,16,clear sky
Bangarapet,21.55,78,clear sky
Vāghodia,25.82,24,clear sky
Sulur,26.13,72,clear sky
Santoshpur,21.99,57,scattered clouds
Rāwatsār,21.62,19,clear sky
Rānāpur,25.18,21,clear sky
Raigarh,24.01,57,overcast clouds
Phulera,18.18,22,clear sky
Phalodi,23.83,19,clear sky
Orai,24.67,16,clear sky
Manoharpur,20.81,84,overcast clouds
Kundla,25.71,44,clear sky
Khurāsa,21.44,18,clear sky
Jharia,21.29,78,overcast clouds
Jashpurnagar,16.7,88,scattered clouds
State of Gujarāt,26.46,25,clear sky
Erode,27.98,71,clear sky
Dharwad,24.42,37,clear sky
Chatrā,20.37,79,overcast clouds
Zahirābād,26.86,47,scattered clouds
Tsrār Sharīf,5.43,53,clear sky
Sonīpat,18.95,20,clear sky
Puruliya,19.68,80,overcast clouds
Pāonta Sāhib,18.35,36,clear sky
Nāndgaon,26.06,25,clear sky
Muhammadābād,21.11,70,clear sky
Kelwa,21.6,22,clear sky
Kanadukattan,27.21,75,clear sky
Kālol,25.57,23,clear sky
Jalārpet,23.62,77,clear sky
Hisar,20.45,18,clear sky
Bindki,23.19,17,clear sky
Bakshwāho,23.16,19,clear sky
Amarwāra,22.11,19,clear sky
Vartej,26.47,37,clear sky
Uttiramerūr,25.04,85,clear sky
Bara Uchāna,17.4,21,clear sky
Tuljāpur,27.84,19,clear sky
Thiruvaiyaru,25.5,90,clear sky
Sikandarābād,20.73,18,clear sky
Sewar,22.46,16,overcast clouds
Rāghogarh,23.59,20,clear sky
Queula,27.61,51,clear sky
Pālanpur,24.14,22,clear sky
Narsinghgarh,23.62,20,clear sky
Nanauta,17.43,21,clear sky
Mānpur,23.79,21,clear sky
Kānota,23.18,33,haze
Kāndhla,18.02,19,clear sky
Kakrāla,20.78,14,few clouds
Ichalkaranji,24.24,34,clear sky
Hiriyūr,27.37,49,scattered clouds
Fedūsar,24.59,19,clear sky
Dhing,21.51,73,overcast clouds
Barkhera Kalān,18.7,16,clear sky
Arāria,20.33,84,overcast clouds
Greater Noida,22.33,17,clear sky
Quthbullapur,25.59,60,clear sky
Usehat,21.04,13,scattered clouds
Udaipur,21.5,24,clear sky
Thenzawl,18.45,73,broken clouds
Satna,22.83,31,scattered clouds
Sarkhej,27.07,29,smoke
State of Odisha,22.64,58,overcast clouds
Nārāyangarh,23.83,24,clear sky
Mohanbāri,17.03,100,mist
Madukkarai,25.58,75,clear sky
Kārsiyāng,13.22,85,overcast clouds
Kānkānhalli,24.63,59,clear sky
Faridabad,20.14,15,clear sky
Dhūri,17.23,24,clear sky
Bhawānīgarh,17.36,23,clear sky
Bakloh,14.66,35,clear sky
Asegaon,25.7,22,clear sky
Āmbāsa,21.79,61,overcast clouds
Ukwā,21.46,54,clear sky
Sultānpur,21.82,18,clear sky
Sāmbre,24.11,31,few clouds
Parli Vaijnāth,27.81,20,clear sky
Panara,22.37,17,clear sky
Palmaner,20.83,93,clear sky
Morinda,18.19,24,clear sky
Mendarda,24.95,36,clear sky
Kudāl,23.52,60,clear sky
Hosdurga,24.98,60,clear sky
Chintāmani,21.52,76,clear sky
Chinchani,25.02,69,clear sky
Bilhaur,22.25,16,clear sky
Bāngarmau,21.99,16,clear sky
Wai,22.07,31,clear sky
Wadgaon,21.64,43,few clouds
Ūn,17.48,20,clear sky
Thrissur,25.35,93,scattered clouds
Tisaiyanvilai,27.44,77,overcast clouds
Mūdbidri,26.79,78,few clouds
Mokameh,20.66,78,scattered clouds
Khirkiyān,25.48,19,clear sky
Jhālrapātan,24.08,20,clear sky
Halvad,27.26,21,clear sky
Elumalai,26.67,76,scattered clouds
Dhaneli,24.71,56,broken clouds
Dhāka,19.58,85,clear sky
Bijnaur,20.03,49,haze
Bedi,25.68,54,clear sky
Banga,16.83,25,clear sky
Avanigadda,24.41,80,clear sky
Ghatkesar,24.48,68,clear sky
Ponnur,24.42,80,clear sky
Cheyyar,24.65,86,clear sky
Sanquelim,22.23,56,clear sky
Namli,24.9,21,clear sky
Mūlki,27.6,78,few clouds
Mājalgaon,27.39,21,scattered clouds
Manalūrpettai,25.42,80,clear sky
Kuzhithurai,26.92,90,few clouds
Kodala,22.7,94,overcast clouds
Kantābānji,27.62,35,overcast clouds
Kalas,25.95,32,clear sky
Chhatarpur,23.95,19,clear sky
Umred,28.02,26,scattered clouds
Sijua,21.37,79,light rain
Sāvantvādi,21.66,53,clear sky
Samālka,19.99,60,haze
Sahaspur,18.47,18,clear sky
Riāsi,15.97,40,clear sky
Rasrā,20.76,71,clear sky
Punalūr,24.4,95,clear sky
Pātan,23.51,27,clear sky
Nirmāli,20.07,86,broken clouds
Nānpāra,19.75,16,clear sky
Maner,21.95,82,clear sky
Malhārgarh,23.79,24,clear sky
Kānke,16.01,94,thunderstorm with light rain
Shādīpur Julāna,19.13,19,clear sky
Idappadi,27.72,78,clear sky
Calangute,28.0,60,clear sky
Bharatpur,22.42,16,overcast clouds
Bālāchor,17.42,25,clear sky
State of Jharkhand,19.75,88,overcast clouds
Udaipur,23.6,47,overcast clouds
Teni,25.04,83,clear sky
Sīrkāzhi,26.44,81,clear sky
Serchhīp,18.03,77,broken clouds
Sardhana,18.95,17,clear sky
Rājāpur,24.08,16,clear sky
Nagpur,25.01,65,haze
Mundgod,23.66,56,clear sky
Mansar,25.56,23,scattered clouds
Kharkhauda,19.27,21,clear sky
Hamīrpur,23.96,17,clear sky
Gunjrauliyā,19.29,70,clear sky
Govindgarh,22.6,22,clear sky
Golakganj,21.16,73,overcast clouds
Diu,23.96,86,clear sky
Dehra Dūn,16.73,40,clear sky
Chotila,26.15,27,clear sky
Palakkad district,25.58,86,clear sky
Udaipur,19.33,20,clear sky
Shāhāpur,24.48,34,clear sky
Padampur,20.4,21,clear sky
Nihtaur,18.33,19,clear sky
Muragācha,20.85,77,overcast clouds
Mahmudābād,21.16,17,clear sky
Mahārājgani,20.07,69,clear sky
Kunigal,24.29,56,clear sky
Karrāpur,23.09,20,clear sky
Kakching,13.96,92,overcast clouds
Ingrāj Bāzār,20.94,69,overcast clouds
Hampi,29.24,35,broken clouds
Gubbi,24.84,54,few clouds
Goribidnūr,25.18,56,clear sky
Forbesganj,20.58,85,overcast clouds
Farīdnagar,19.03,19,clear sky
Būriya,17.43,30,clear sky
Bāzpur,18.37,20,clear sky
Bāg,25.74,20,clear sky
Attur,24.3,88,clear sky
Nandambakkam,28.25,86,few clouds
Udangudi,27.91,76,overcast clouds
Sankheda,25.4,27,clear sky
Shāmlālji,25.22,20,clear sky
Rāichūr,27.1,56,scattered clouds
Patna,21.96,64,haze
Parvatsar,19.87,23,clear sky
Oran,23.94,17,clear sky
Nārsingi,24.77,58,broken clouds
Nagwa,23.88,87,clear sky
Moirāng,15.35,82,overcast clouds
Mācherla,25.23,78,clear sky
Karumbākkam,27.8,82,clear sky
Jaynagar,20.44,86,clear sky
Hansot,25.97,53,clear sky
Gohadi,21.91,20,clear sky
Bīghāpur Khurd,22.78,17,clear sky
Benīganj,21.18,15,clear sky
Ajjampur,23.61,69,clear sky
Vagator,27.83,58,clear sky
Zamānia,21.32,68,clear sky
Wer,22.59,16,overcast clouds
Vāsudevanallūr,26.2,83,few clouds
Singoli,22.6,22,clear sky
Sheopur,24.27,19,clear sky
Rudraprayāg,15.18,42,clear sky
Rajpur,24.95,21,clear sky
Nelamangala,23.43,66,clear sky
Khed,21.36,41,clear sky
Garhmuktesar,19.56,17,clear sky
Depālpur,22.89,23,clear sky
Chhātāpur,20.42,85,overcast clouds
Bagra,21.38,79,overcast clouds
Amarkantak,17.64,59,clear sky
Shāhābād,31.02,33,overcast clouds
Sarāi Ākil,23.6,34,clear sky
Sanivārsante,20.58,84,clear sky
Samāstipur,19.94,82,clear sky
Saktī,24.5,45,overcast clouds
Rewa,22.43,55,clear sky
Rāyagada,22.29,76,clear sky
Mihona,22.45,18,clear sky
Laksar,17.97,23,clear sky
Kutiyāna,24.87,58,clear sky
Jhalidā,19.48,84,scattered clouds
Golāghāt,22.78,51,overcast clouds
Erraguntla,27.44,60,clear sky
Dabwāli,18.44,21,clear sky
Chunchura,21.94,67,broken clouds
Bijbehara,6.52,37,clear sky
Anakāpalle,26.97,91,clear sky
Nangilickondan,25.28,85,clear sky
Vaniyambadi,23.91,75,clear sky
Rānībennur,25.29,54,broken clouds
Pilkhua,19.22,19,clear sky
Phek,12.49,92,overcast clouds
Nāspur,27.5,55,overcast clouds
Nāngloi Jāt,20.06,60,haze
Murgūd,23.17,37,clear sky
Murādnagar,19.66,19,clear sky
Māndal,22.78,22,clear sky
Madurai,27.01,89,mist
Lakhnādon,22.68,24,clear sky
Jalālābad,17.43,20,clear sky
Gummidipundi,25.68,83,clear sky
Daitari,21.74,86,broken clouds
Bhindār,22.58,22,clear sky
Bargarh,27.22,39,overcast clouds
Bārāmati,25.48,32,few clouds
Banjār,9.13,56,clear sky
pedda nakkalapalem,25.43,80,clear sky
Sohāgi,23.29,45,clear sky
Saidpur,19.32,19,clear sky
Rangāpāra,18.92,79,overcast clouds
Radaur,17.89,21,clear sky
Polasara,22.48,93,scattered clouds
Nimāparha,23.22,95,clear sky
Nandikotkūr,26.83,60,few clouds
Maurānwān,22.7,17,clear sky
Masinigudi,20.84,78,clear sky
Māpuca,27.92,58,clear sky
State of Mahārāshtra,25.44,23,clear sky
Khowai,22.56,57,overcast clouds
Jagtiāl,26.71,58,scattered clouds
Fatehgarh,21.66,13,clear sky
Dumraon,20.53,83,clear sky
Chinnamanūr,24.33,86,clear sky
Birmitrapur,20.71,79,broken clouds
Bhilai,24.82,57,broken clouds
Baraut,18.08,19,clear sky
Antri,22.02,20,clear sky
Tādepallegūdem,23.33,85,clear sky
Pattukkottai,26.66,80,clear sky
Manjēshvar,27.66,73,clear sky
Lakhyabad,21.16,81,broken clouds
Khāga,22.68,18,clear sky
Kadi,24.45,24,clear sky
Chennimalai,25.75,74,clear sky
Chengam,24.02,84,clear sky
Bhīmavaram,23.37,84,clear sky
Bhagwantnagar,23.02,17,clear sky
Bhabhua,22.31,67,scattered clouds
Arkalgūd,21.6,78,clear sky
Srirāmpur,21.45,72,overcast clouds
Titāgarh,21.97,83,haze
Srīperumbūdūr,28.08,89,clear sky
Seondha,22.48,19,clear sky
Sahāranpur,17.56,34,clear sky
Rājgarh,22.88,17,clear sky
Nawābganj,21.8,17,clear sky
Nandurbar,26.97,26,clear sky
Mahābaleshwar,19.13,40,clear sky
Lūnāvāda,26.09,22,clear sky
Khed,21.75,59,few clouds
State of Jammu and Kashmīr,-26.24,100,broken clouds
Gajendragarh,27.42,28,clear sky
Deori Khās,23.32,22,clear sky
Union Territory of Dādra and Nagar Haveli,23.16,58,clear sky
Carapur,27.97,60,clear sky
Bomdila,2.64,68,overcast clouds
Barwāni,27.0,22,clear sky
Bānswāra,26.01,22,clear sky
Raypur,21.98,59,clear sky
Uniāra,23.56,20,clear sky
Shirwal,23.37,35,clear sky
Shāhpur,23.93,20,clear sky
Shāhpur,23.6,18,clear sky
Shāhābād,20.8,13,clear sky
Saiha,19.27,70,broken clouds
Perundurai,25.85,72,clear sky
Navalgund,26.82,33,clear sky
Nāthdwāra,21.54,23,clear sky
Monghyr,21.62,74,overcast clouds
Mandya,24.85,60,clear sky
Mālūr,24.24,75,clear sky
Mahgawān,21.93,19,clear sky
Madikeri,19.08,95,clear sky
Kotamangalam,25.84,94,scattered clouds
Kollegāl,24.65,60,clear sky
Jaykaynagar,21.22,81,broken clouds
Harpālpur,24.33,18,clear sky
Guntur,24.6,81,clear sky
Bolānīkhodān,17.88,87,overcast clouds
Bhadarwāh,3.96,70,clear sky
Baldeogarh,23.38,19,clear sky
Angul,22.96,90,overcast clouds
Amarnāth,25.03,47,clear sky
Akola,26.96,20,clear sky
Abhaneri,22.5,17,scattered clouds
Vettaikkaranpudur,24.53,80,few clouds
Srinagar,7.79,42,clear sky
Shāhāda,27.18,25,clear sky
Manjeri,27.38,89,few clouds
Lonār,25.05,22,clear sky
Kulpahār,24.18,18,clear sky
Korba,22.11,58,scattered clouds
Khadki,23.46,39,clear sky
Jhārgrām,21.86,76,broken clouds
Cumbum,24.88,81,clear sky
Bangaon,21.63,76,overcast clouds
Anandpur,17.79,27,clear sky
Alwar,21.2,17,few clouds
Ahmadpur,27.7,20,clear sky
Vellore,24.11,87,clear sky
Shāhganj,21.5,42,clear sky
Rambha,24.69,85,broken clouds
Puduvāyal,28.34,82,clear sky
Kīranūr,27.84,82,clear sky
Hoshangābād,24.53,19,clear sky
Balimila,23.39,60,clear sky
Aurangabad,24.47,22,clear sky
Tulsīpur,21.28,16,clear sky
Sundarnagar,13.33,44,clear sky
Saraipali,26.2,47,overcast clouds
Sāngli,25.04,33,clear sky
Ponneri,28.34,81,clear sky
Nizāmābād,26.72,51,clear sky
Nālāgarh,18.16,29,clear sky
Mālpura,22.95,21,few clouds
Malkāpur,22.19,35,clear sky
Krishnarājpet,23.55,72,clear sky
Kovalam,29.05,79,mist
Kota,24.97,19,few clouds
Kānt,20.7,13,clear sky
Jora,22.8,20,few clouds
Itimādpur,23.13,14,broken clouds
Hadagalli,27.72,44,broken clouds
Haridwar,16.98,29,clear sky
Diphu,18.06,90,overcast clouds
Chikmagalūr,20.11,89,clear sky
Chakradharpur,20.92,83,overcast clouds
Betamcherla,25.68,62,clear sky
Shirgaon,25.01,69,clear sky
Sānchi,23.54,21,clear sky
Pushkar,22.0,22,clear sky
Mairwa,19.81,70,clear sky
Kātol,25.74,19,clear sky
Jawhār,21.36,35,clear sky
Himatnagar,24.39,22,clear sky
Gūdūr,24.8,86,clear sky
Gautampura,23.47,23,clear sky
Chandannagar,21.94,67,broken clouds
Būndi,23.33,20,broken clouds
Vayalār,27.54,77,overcast clouds
Tanakpur,18.3,17,clear sky
Srīsailain,21.96,84,clear sky
Sailāna,24.76,21,clear sky
Sābarmatī,26.98,29,smoke
Punjai Puliyampatti,26.63,70,clear sky
Porbandar,24.76,71,clear sky
Periyapatti,25.59,76,clear sky
Patiāla,18.1,23,clear sky
Naliya,24.11,72,clear sky
Mauganj,22.24,61,clear sky
Jodhpur,24.82,19,clear sky
Govindgarh,22.04,58,clear sky
Goa Velha,27.97,51,clear sky
Digras,26.76,21,clear sky
Bādāmi,27.43,26,clear sky
Yechagām,6.74,50,clear sky
Vandavāsi,25.06,86,clear sky
Seoni,23.41,20,scattered clouds
Sāyalkudi,28.19,75,broken clouds
Sattur,27.51,75,scattered clouds
Nāhan,17.6,25,clear sky
Morbi,27.82,20,clear sky
Mathura,21.49,17,overcast clouds
Madhya Pradesh,22.85,21,clear sky
Loni,20.13,17,clear sky
Kudachi,25.2,34,clear sky
Kāngar,16.08,35,few clouds
Kālundri,24.8,62,clear sky
Ellenabad,20.41,19,clear sky
Daulatpur,21.0,68,overcast clouds
Challakere,28.83,39,scattered clouds
Banganapalle,27.07,61,clear sky
Parbatipur,21.98,62,scattered clouds
State of Chhattīsgarh,25.46,47,few clouds
Vapi,24.54,71,clear sky
Vīraganūr,25.41,81,clear sky
Verāval,25.07,54,clear sky
Siuri,20.71,82,overcast clouds
Sironj,23.49,20,clear sky
Singānallūr,25.91,72,clear sky
Peddāpuram,22.34,88,clear sky
Pātoli,23.3,15,broken clouds
Nagrota,19.26,42,clear sky
Meghālaya,11.57,90,overcast clouds
Mormugao,27.59,51,clear sky
Mancherāl,27.51,55,broken clouds
Maihar,22.13,45,clear sky
Kosamba,25.12,59,clear sky
Khātegaon,24.39,21,clear sky
Kāsganj,21.07,15,scattered clouds
Hole Narsipur,22.86,74,clear sky
Hatiā,15.94,94,thunderstorm with light rain
Gobārdānga,22.29,66,broken clouds
Gangāwati,29.6,32,broken clouds
Desūr,24.95,85,clear sky
Bilāsipāra,21.25,77,overcast clouds
Bānki,22.52,96,broken clouds
Āthagarh,22.67,93,broken clouds
Amod,27.34,26,clear sky
Ashoknagar Kalyangarh,21.84,68,overcast clouds
Tondi,28.55,74,few clouds
Tirur,27.55,81,clear sky
Srīnagar,15.24,38,clear sky
Rūdarpur,20.1,65,clear sky
Rāmgarh,20.51,17,clear sky
Rājula,23.92,73,clear sky
Puliyangudi,26.25,81,few clouds
Pirāwa,24.62,20,clear sky
Pināhat,21.58,17,scattered clouds
Parnera,24.84,72,clear sky
Pakur,22.03,64,overcast clouds
Osmanabad,27.54,19,few clouds
Naugachhia,21.48,73,overcast clouds
Mubārakpur,20.51,66,clear sky
Khada,19.24,34,clear sky
Kariapatti,27.29,89,mist
Kalghatgi,24.21,47,clear sky
Bihār Sharīf,20.62,79,scattered clouds
Bhīkhi,16.86,24,clear sky
Beypore,27.58,89,few clouds
Bāruni,20.38,80,scattered clouds
Anta,24.88,19,clear sky
State of Andhra Pradesh,19.88,90,clear sky
Āgra,22.43,15,broken clouds
Ābu,23.98,21,clear sky
Tekkalakote,28.81,41,clear sky
Srivaikuntam,27.3,77,overcast clouds
Samthar,24.03,17,clear sky
Rewāri,21.3,17,clear sky
Rafiābād Kalān,21.24,13,clear sky
State of Punjab,16.09,28,clear sky
Nilanga,27.7,22,clear sky
Muluppilagadu,26.28,80,clear sky
Mātherān,22.91,62,clear sky
Manjhāoli,22.8,16,clear sky
Mahobā,24.23,18,clear sky
Katra,13.42,43,clear sky
Hariāna,17.29,29,clear sky
Denkanikota,18.58,80,clear sky
Bharkol,22.24,16,broken clouds
Barwāla,19.07,19,clear sky
Norīa,18.7,36,clear sky
Anjad,26.96,22,clear sky
Alwaye,25.97,89,mist
Ajāpura,24.33,19,clear sky
Vasind,24.34,36,clear sky
Pahāsu,20.46,18,broken clouds
Nāndūra Buzurg,26.8,20,clear sky
Naksalbāri,19.24,79,overcast clouds
Nadiād,25.0,23,clear sky
Mukeriān,16.62,34,clear sky
Mānsa,23.08,26,clear sky
Mairang,11.64,83,overcast clouds
Mahīshādal,22.38,66,clear sky
Khātra,20.4,81,overcast clouds
Kāraikkudi,27.48,75,clear sky
Hātod,22.69,25,clear sky
Cuddapah,26.15,70,clear sky
Chuāri Khās,7.92,36,clear sky
Chingleput,25.45,84,clear sky
Bijāwar,23.13,20,clear sky
Bhitarwār,22.93,20,clear sky
Beāwar,22.28,21,clear sky
Bāpatla,26.37,77,clear sky
Bālāghāt,25.13,48,few clouds
Amudālavalasa,23.59,87,broken clouds
Aizawl,17.17,67,overcast clouds
Pithampur,22.89,23,clear sky
Tumkūr,24.43,58,few clouds
Tarn Tāran,16.04,29,clear sky
Sri Dūngargarh,21.98,19,clear sky
Rāmganj Mandi,24.42,20,clear sky
Pernem,24.33,55,clear sky
Neem ka Thana,18.98,19,clear sky
Maddagiri,25.47,52,clear sky
Luhāru,22.45,16,overcast clouds
Kumaralingam,24.6,76,clear sky
Jogīghopa,20.58,79,overcast clouds
Fatehgarh Chūriān,17.92,33,clear sky
Dharangaon,27.14,23,clear sky
Chichli,24.72,19,clear sky
Basavana Bāgevādi,30.3,20,scattered clouds
Bāramūla,6.26,45,clear sky
Bakhtiyārpur,20.13,83,clear sky
Āsansol,21.22,81,broken clouds
State of Arunāchal Pradesh,12.79,78,overcast clouds
Amritsar,17.97,72,mist
Āmlāgora,21.77,74,scattered clouds
Malkajgiri,24.49,62,clear sky
Talegaon Dābhāde,21.91,42,few clouds
Shegaon,26.84,20,clear sky
Shāhkot,15.92,30,clear sky
Palani,25.07,77,clear sky
Pallipattu,23.82,90,clear sky
Kotri,24.75,17,clear sky
Kotār,22.88,42,clear sky
Jarwal,21.57,18,clear sky
Godhra,25.53,23,clear sky
Farakka,21.86,68,overcast clouds
Dicholi,27.9,57,clear sky
Channarāyapatna,23.33,72,clear sky
Bhachāu,25.22,36,clear sky
Varanasi,20.05,77,mist
Umaria,21.29,52,clear sky
Tiruppuvanam,27.21,89,mist
Sultānpur,24.17,23,clear sky
Rangpo,14.64,70,overcast clouds
Pratāpgarh,22.4,21,clear sky
Mulbāgal,20.68,88,clear sky
Miriālgūda,25.4,76,clear sky
Kūd,1.82,54,clear sky
Kombai,23.54,88,clear sky
Kirākat,20.04,67,clear sky
Kinwat,29.37,29,overcast clouds
Khurai,23.58,19,clear sky
Bīlāspur,21.65,18,clear sky
Baheri,17.75,19,clear sky
Āron,22.63,21,clear sky
Akot,26.91,18,clear sky
Sidhi,22.16,62,clear sky
Siddhapur,24.42,24,clear sky
Shamaspur,21.6,15,clear sky
Seoni Mālwa,23.32,21,clear sky
Selu,26.72,22,few clouds
Puliyūr,27.89,89,mist
Patti,22.04,31,clear sky
Pāli,21.23,52,clear sky
Naraina,19.14,22,clear sky
Kurandvād,24.72,34,clear sky
Kodār,24.73,79,clear sky
Indraprast,20.1,15,clear sky
George Town,22.99,44,clear sky
Devarkonda,25.96,58,clear sky
Balarāmpur,23.45,60,clear sky
Palackattumala,23.97,97,scattered clouds
Utraula,21.44,17,clear sky
Taleigao,28.0,51,clear sky
Sunel,24.59,21,clear sky
Shivpuri,22.93,20,clear sky
Pallattūr,27.3,75,clear sky
Nepānagar,25.78,21,clear sky
Kithor,19.63,17,clear sky
Kenda,20.27,77,overcast clouds
Etah,21.54,14,broken clouds
Durg,24.92,58,overcast clouds
Dhārchula,6.56,35,clear sky
Dewas,23.0,24,clear sky
Dāmnagar,25.84,43,clear sky
Chanderi,22.23,20,clear sky
Buddh Gaya,22.39,71,overcast clouds
Tirumakūdal Narsipur,25.14,56,clear sky
Shikohābād,21.99,15,scattered clouds
Rājnagar,24.12,19,clear sky
Narsimhapur,23.51,25,clear sky
Negapatam,27.11,79,scattered clouds
Mogalrājapuram,24.14,84,clear sky
Kushtagi,27.66,31,clear sky
Kottagūdem,24.99,72,clear sky
Kavaratti,29.01,65,clear sky
Kartārpur,16.16,32,clear sky
Hesla,19.59,92,broken clouds
Govindgarh,23.29,15,overcast clouds
Elūr,25.98,89,mist
Dhekiajuli,19.23,87,overcast clouds
Dehri,22.24,74,scattered clouds
Bānsbāria,21.56,68,overcast clouds
Badhni Kalān,16.31,27,clear sky
Chemmumiahpet,25.03,80,clear sky
Wārāseonī,25.97,46,scattered clouds
Venkatagiri,24.11,87,clear sky
Vandalūr,28.14,85,few clouds
Titlāgarh,28.35,25,overcast clouds
Sawāi Mādhopur,23.42,19,clear sky
Maudaha,24.35,17,clear sky
Mākhjan,21.71,67,clear sky
Khatauli,17.84,19,clear sky
Kāmalāpuram,27.41,61,clear sky
Jobner,17.64,21,clear sky
Govardhan,22.06,16,overcast clouds
Gogāpur,24.4,21,clear sky
Gawān,20.25,17,few clouds
Collectorganj,22.08,18,clear sky
Chandigarh,19.26,22,clear sky
Badlapur,24.14,54,clear sky
Āsandh,17.5,20,clear sky
Ādilābād,28.36,40,scattered clouds
Kesabpur,21.62,68,overcast clouds
Madambakkam,28.08,87,clear sky
Tumsar,26.21,46,few clouds
Teonthar,23.27,45,clear sky
Seorīnārāyan,23.48,54,broken clouds
Pedana,25.75,77,clear sky
Mandāwar,21.42,17,clear sky
Madhupur,19.84,89,light rain
Kulattūr,28.29,73,overcast clouds
Kukshi,26.22,20,clear sky
Jaunpur,21.21,60,clear sky
Dewā,21.3,18,clear sky
Chhachhrauli,17.76,33,clear sky
Baranagar,21.97,83,haze
Bānapur,24.53,89,broken clouds
Arimalam,27.19,77,clear sky
Tiruchengode,26.52,69,clear sky
Tekāri,20.89,77,few clouds
Pīpri,25.17,22,clear sky
Kunnamangalam,27.35,86,clear sky
Kenduadīh,21.27,79,overcast clouds
Jabalpur,22.9,37,clear sky
Guna,23.37,20,clear sky
Daulatpur,17.31,33,clear sky
Varangaon,26.73,19,clear sky
Valpoy,22.09,56,clear sky
Srikakulam,24.87,81,scattered clouds
Rasūlābād,21.91,17,clear sky
Rajaori,12.65,30,clear sky
Phūlpur,21.23,48,clear sky
Parol,17.35,39,clear sky
Nīmbāhera,22.13,24,few clouds
Morādābād,18.66,18,clear sky
Khallikot,24.24,88,broken clouds
Indore,22.67,24,clear sky
Imphal,16.23,76,overcast clouds
Charkhi Dādri,20.47,18,clear sky
Bakreswar,20.63,82,overcast clouds
Arukutti,26.36,85,overcast clouds
Annāmalainagar,27.19,79,clear sky
Porur,28.5,83,few clouds
Mohali,19.11,22,clear sky
Varkala,26.82,82,few clouds
Sonegaon,26.77,26,few clouds
Sohna,20.93,18,clear sky
Sangamner,24.18,32,clear sky
Rāmkola,19.22,70,clear sky
Paralākhemundi,23.58,90,overcast clouds
Omalur,25.72,74,clear sky
Nongpoh,17.5,64,overcast clouds
Munnar,15.06,93,few clouds
Mirzāpur,22.1,68,few clouds
Kundgol,25.44,39,clear sky
Colachel,27.14,90,scattered clouds
Khargupur,20.8,18,clear sky
Kāsaragod,24.71,81,clear sky
Jhajjar,19.59,20,clear sky
Isāgarh,23.13,20,clear sky
Gokarna,26.66,65,clear sky
Dhāriwāl,15.73,34,clear sky
Bhadrāvati,23.01,73,clear sky
Belonia,23.96,45,overcast clouds
Una,23.59,85,clear sky
Tāndā,20.42,19,clear sky
Shāhjahānpur,21.57,17,clear sky
Sanaur,18.23,23,clear sky
Ratnagiri,25.26,65,clear sky
