city,Temperature (°C),Humidity (%),Weather Condition
Sirsā,22.45,42,clear sky
Sibsāgar,23.82,43,overcast clouds
Shrīrāmpur,21.96,83,haze
Pura Raghunāthpur,20.0,77,mist
Nāmrup,21.72,52,overcast clouds
Nambutalai,28.53,73,few clouds
Kāpren,24.3,20,clear sky
Ilkal,29.83,26,clear sky
Hinganghāt,27.98,24,scattered clouds
Giddalūr,24.38,77,clear sky
Dalsingh Sarai,20.11,83,few clouds
Changanācheri,24.79,94,broken clouds
Budaun,20.32,14,clear sky
Bagdogra,19.13,79,overcast clouds
Baberu,23.73,17,clear sky
Amet,22.16,20,clear sky
Agarpāra,21.99,83,haze
Chapra,21.6,70,overcast clouds
Kakaguda,24.44,61,clear sky
Banbasa,18.31,16,clear sky
Yanamalakuduru,24.03,84,clear sky
Serilingampalle,25.9,55,clear sky
Sidhpura,21.21,15,scattered clouds
Serula,27.66,51,clear sky
Roha,21.84,70,clear sky
Parādīp Garh,24.73,84,clear sky
Padrauna,19.11,75,clear sky
Narasapur,24.11,82,clear sky
Mārahra,21.36,15,scattered clouds
Konch,24.4,17,clear sky
Kodaikānāl,12.26,97,few clouds
Kālna,20.79,78,overcast clouds
Jūnāgadh,25.46,37,clear sky
Jagdīspur,20.66,83,clear sky
Chandauli,21.33,69,clear sky
Bithūr,21.89,17,clear sky
Bikramganj,20.71,80,clear sky
Bagar,21.91,17,clear sky
Ashoknagar,22.95,21,clear sky
Wāshīm,25.23,22,clear sky
Vettavalam,24.81,83,clear sky
Tirupparangunram,26.98,89,mist
Sikkim,-9.51,87,overcast clouds
Shāhpur,25.76,36,clear sky
Pātan,24.48,27,clear sky
Nīlokheri,17.9,22,clear sky
Mohanpur,18.62,15,clear sky
Mānpur,23.16,16,scattered clouds
Khairābād,20.88,14,clear sky
Kampli,30.21,32,broken clouds
Jagraon,16.52,27,clear sky
Budhlāda,16.89,24,clear sky
Sundargarh,22.4,71,broken clouds
Sultanpur,15.77,34,clear sky
Sheohar,19.55,85,clear sky
Shahdol,20.21,63,few clouds
Sadābād,22.09,16,overcast clouds
Rājākhera,21.76,17,scattered clouds
Mahendragarh,21.15,17,clear sky
Kayalpattinam,27.91,77,overcast clouds
Katghora,20.92,67,clear sky
Jhānsi,23.51,18,clear sky
Jāmadoba,21.33,78,overcast clouds
Hukeri,24.77,32,clear sky
Gadag,26.27,36,clear sky
Erandol,26.94,23,clear sky
Chittarkonda,21.17,66,clear sky
Biloli,27.17,42,clear sky
Bhadohi,20.0,61,clear sky
Belsand,19.63,85,clear sky
Amalāpuram,22.44,89,clear sky
Ajra,22.27,35,clear sky
Achhnera,22.09,16,broken clouds
Jagatpura,22.95,33,haze
Wānkāner,27.13,29,clear sky
Soro,21.72,77,broken clouds
Satara,22.63,31,broken clouds
Rāth,24.24,18,clear sky
Puttūr,22.42,94,clear sky
Mankāchar,20.8,66,overcast clouds
Mahemdāvād,25.67,21,clear sky
Khammam,24.45,77,clear sky
Kalyān,25.28,45,clear sky
Jahāzpur,23.55,21,scattered clouds
Hospet,29.1,38,overcast clouds
Hasanpur,21.54,17,broken clouds
Fīrozpur Jhirka,21.49,17,few clouds
Dattāpur,26.98,21,clear sky
Chānda,28.4,49,overcast clouds
Āttayyāmpatti,26.23,72,clear sky
Arakkonam,24.58,87,clear sky
Aonla,19.89,15,clear sky
Amloh,17.36,25,clear sky
Amber,22.9,33,haze
Ambikāpur,20.73,68,overcast clouds
Ambad,25.46,23,few clouds
Puttaparthi,26.8,55,clear sky
Tārānagar,22.7,18,clear sky
Someshwar,23.09,82,few clouds
Saundatti,25.74,32,clear sky
Saint Thomas Mount,28.54,82,few clouds
Pūrna,27.39,22,clear sky
Peraiyur,26.37,76,scattered clouds
Pālkonda,23.38,88,broken clouds
Nāmakkal,26.22,74,clear sky
Māndvi,25.09,64,clear sky
Mandlā,23.02,50,clear sky
Māgadi,22.73,64,clear sky
Māchalpur,24.65,20,clear sky
Jalor,25.36,19,clear sky
Hadgāon,29.13,20,overcast clouds
Gunnaur,20.41,17,broken clouds
Bemetāra,25.45,45,overcast clouds
